1050804883255,15.747070,5091.200195,80.468750,1.788330,1806.400024,3.125000,1.380615,1804.800049,2.460938,1.608887,555.200012,0.859375,0,0
1050804908255,15.795899,5091.200195,80.468750,1.800537,1804.800049,3.320312,1.402588,1806.400024,2.578125,1.608887,555.200012,0.859375,0,0
1050804933241,15.795899,5091.200195,80.468750,1.800537,1804.800049,3.320312,1.402588,1806.400024,2.578125,1.613769,555.200012,0.859375,0,0
1050804958264,15.722656,5089.600098,79.687500,1.800537,1806.400024,3.320312,1.343994,1804.800049,2.460938,1.616211,555.200012,0.859375,0,0
1050804983256,15.747070,5094.399902,80.468750,1.812744,1806.400024,3.320312,1.413574,1804.800049,2.578125,1.616211,555.200012,0.859375,0,0
1050805008240,15.747070,5094.399902,80.468750,1.806641,1806.400024,3.320312,1.413574,1804.800049,2.578125,1.616211,555.200012,0.859375,0,0
1050805033247,15.844727,5092.799805,80.468750,1.806641,1806.400024,3.320312,1.376953,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805058241,15.820313,5091.200195,80.468750,1.800537,1806.400024,3.320312,1.428223,1804.800049,2.578125,1.613769,555.200012,0.859375,0,0
1050805083237,15.844727,5089.600098,80.468750,1.788330,1806.400024,3.125000,1.395264,1804.800049,2.460938,1.616211,555.200012,0.859375,0,0
1050805108262,15.844727,5089.600098,80.468750,1.788330,1806.400024,3.125000,1.395264,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805133267,15.747070,5089.600098,80.468750,1.782227,1806.400024,3.125000,1.402588,1804.800049,2.578125,1.611328,553.599976,0.859375,0,0
1050805158234,15.820313,5089.600098,80.468750,1.800537,1806.400024,3.320312,1.398926,1804.800049,2.460938,1.611328,553.599976,0.859375,0,0
1050805183247,15.820313,5089.600098,80.468750,1.794434,1806.400024,3.125000,1.398926,1804.800049,2.460938,1.611328,553.599976,0.859375,0,0
1050805208258,15.747070,5091.200195,80.468750,1.794434,1806.400024,3.125000,1.380615,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805233253,15.820313,5092.799805,80.468750,1.794434,1806.400024,3.125000,1.373291,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805258253,15.771484,5089.600098,80.468750,1.812744,1806.400024,3.320312,1.384277,1804.800049,2.460938,1.611328,555.200012,0.859375,0,0
1050805283246,15.771484,5089.600098,80.468750,1.812744,1806.400024,3.320312,1.384277,1804.800049,2.460938,1.608887,555.200012,0.859375,0,0
1050805308243,15.771484,5088.000000,80.468750,1.806641,1806.400024,3.320312,1.380615,1804.800049,2.460938,1.608887,555.200012,0.859375,0,0
1050805333265,15.747070,5091.200195,80.468750,1.782227,1806.400024,3.125000,1.395264,1804.800049,2.460938,1.608887,555.200012,0.859375,0,0
1050805358243,15.747070,5091.200195,80.468750,1.800537,1806.400024,3.320312,1.395264,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805383241,15.771484,5091.200195,80.468750,1.800537,1806.400024,3.320312,1.376953,1804.800049,2.460938,1.611328,555.200012,0.859375,0,0
1050805408247,15.722656,5089.600098,80.468750,1.788330,1806.400024,3.125000,1.384277,1804.800049,2.460938,1.611328,555.200012,0.859375,0,0
1050805433249,15.844727,5091.200195,80.468750,1.806641,1806.400024,3.320312,1.369629,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805458258,15.844727,5091.200195,80.468750,1.806641,1806.400024,3.320312,1.369629,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805483250,15.771484,5091.200195,80.468750,1.788330,1806.400024,3.320312,1.387939,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805508252,15.795899,5091.200195,80.468750,1.800537,1806.400024,3.320312,1.373291,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805533255,15.795899,5091.200195,80.468750,1.806641,1806.400024,3.320312,1.373291,1804.800049,2.460938,1.611328,555.200012,0.859375,0,0
1050805558258,15.747070,5089.600098,80.468750,1.806641,1806.400024,3.320312,1.391602,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805583249,15.844727,5091.200195,80.468750,1.794434,1806.400024,3.125000,1.373291,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805608240,15.747070,5091.200195,80.468750,1.800537,1806.400024,3.320312,1.391602,1804.800049,2.460938,1.608887,555.200012,0.859375,0,0
1050805633241,15.747070,5091.200195,80.468750,1.800537,1806.400024,3.320312,1.391602,1804.800049,2.460938,1.611328,555.200012,0.859375,0,0
1050805658247,15.820313,5091.200195,80.468750,1.794434,1806.400024,3.320312,1.391602,1804.800049,2.460938,1.611328,555.200012,0.859375,0,0
1050805683271,15.771484,5089.600098,80.468750,1.812744,1806.400024,3.320312,1.376953,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805708255,15.771484,5089.600098,80.468750,1.800537,1806.400024,3.320312,1.376953,1804.800049,2.460938,1.613769,553.599976,0.859375,0,0
1050805733252,15.771484,5091.200195,80.468750,1.800537,1806.400024,3.320312,1.376953,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
1050805758247,15.795899,5091.200195,80.468750,1.788330,1806.400024,3.125000,1.354980,1804.800049,2.460938,1.613769,555.200012,0.859375,0,0
